Topic,Lesson,phrase/word,English,
1,1,ohayoo gozaimasu,good morning,おはようございます
,,konnichiwa,hello,こんにちは
,,konbanwa,good evening,こんばんは
,,sayoonara,good bye,さようなら
,,"jaa,mata",see you,じゃあ、また
,,osaki ni shitsureeshimasu,,おさきに　しつれいします
,,otsukaresama deshita,,おつかれさまでした
,,arigatoo gozaimasu,thank you,ありがとうございます
,,sumimasen,"thank you, sorry, excuse me",すみません
,2,imasu,,います
,,imasen,,いません
,,madadesu,not yet,まだです
,,kiite kudasai,Listen,きいて　ください
,,kaite kudasai,Write,かいて　ください
,,yonde kudasai,Read,よんで　ください
,,~peeji o akete kudasai,open the textbook page~,～ページを　あけて　ください
,,itte kudasai,Say,いって　ください
,,mite kudasai,Look at~,みて　ください
,,pea de hanashite kudasai,Talk with in pair,ペアで　はなして　ください
,,jugyoo,lesson/class,じゅぎょう
,,hajimemasu,to start,はじめます
,,owarimasu,finish,おわります
,,wakarimashita,I understand,わかりました
,,wakarimasen,I don't understand,わかりません
,,moo ichido onegaishimasu,Could you say again?,もういちど　おねがいします
,,moo sukoshi yukkuri itte kudasai,Could you say slowly?,もうすこし　ゆっくり　いって　ください
,,sensee,teacher,せんせい
,,kyooshitu,classroom,きょうしつ
,,imi,meaning,いみ
,,eigo,English,えいご
,,okuremasu,I will be late,おくれます
,,yasumimasu,I am absent,やすみます
